,D,Delta,tl,K,tm,Vr,Ifull,IPSPint,Vreset,Ie_sig,Ifull_nA,Icrit_nA,fcrit,I0crit,A0crit,Icrit,fcrit_sim,fnet_full_theory,Ifull_nA_sim,fnet_full_sim,Ifull_sim,error_net_nmae,error_unit_nmae,Imin_theory,Imax_theory,applicability,performance
10,0.04,1.2,1.2,2.0,10.0,0.0,9.026308670701173,0.0104,-65.0,0.03676955262170048,1.1734201271911524,0.25,321.4000000000001,0.1317,45.53285067271398,1.9230769230769231,310.29781294369855,288.97199706152594,1.0600000000000007,265.43586238728665,8.153846153846159,0.11694202211235938,0.10548874589415833,3.423076923076921,9.026308670701173,0.7592592592592597,0.6704699461739498
11,0.04,1.2,1.2,3.0,10.0,0.0,9.371215373709317,0.0156,-65.0,0.03676955262170048,1.218257998582211,0.21875,312.50000000000006,0.1093,28.050910180503003,1.6826923076923077,301.3038623089275,231.73160959731692,1.0987500000000008,215.2273352355923,8.451923076923084,0.10169917129602161,0.11641956216114933,3.1826923076923093,9.371215373709317,0.7784090909090908,0.6992455314343468
12,0.04,1.2,1.2,5.0,10.0,0.0,9.757019458301988,0.026,-65.0,0.03676955262170048,1.2684125295792583,0.1923828125,305.3,0.0914,15.541841101404215,1.4798677884615383,294.3171224739482,171.91059219169512,1.1323828125000008,160.7950615152041,8.710637019230775,0.10430298959668131,0.12767330744371524,2.8798677884615396,9.757019458301988,0.8063829787234043,0.7222748232826761
13,0.04,1.2,1.2,10.0,10.0,0.0,10.220180292737698,0.052000000000000005,-65.0,0.03676955262170048,1.3286234380559008,0.171875,299.1,0.0761,7.34395044041837,1.3221153846153846,287.03431688015485,114.37693731697611,1.191875000000001,108.85266619347435,9.168269230769237,0.11454110261585666,0.12815487847396154,2.5221153846153856,10.220180292737698,0.8470588235294118,0.7500357719018625
14,0.04,1.2,1.2,50.0,10.0,0.0,11.12694765484933,0.26,-65.0,0.03676955262170048,1.4465031951304126,0.140625,290.00000000000006,0.053700000000000005,1.3333595332939632,1.0817307692307692,271.942333873969,51.47547089908139,1.310625000000001,50.41444843252709,10.081730769230777,0.13530112218515344,0.08335028276651082,1.8817307692307699,11.12694765484933,0.9111111111111111,0.7878367553424157
15,0.0625,1.2,1.2,2.0,10.0,0.0,10.770446960906126,0.0104,-65.0,0.045961940777125586,1.4001581049177965,0.296875,325.00000000000006,0.1436,59.001388713058965,2.2836538461538463,314.6886306918933,345.7193095909427,1.1168750000000007,279.15268520402793,8.591346153846159,0.03465152347526586,0.12136445354600925,4.583653846153848,10.770446960906126,0.6353658536585366,0.6133494588651055
16,0.0625,1.2,1.2,3.0,10.0,0.0,11.233142536733023,0.0156,-65.0,0.045961940777125586,1.460308529775293,0.25,314.9000000000001,0.1117,35.46209897034253,1.9230769230769231,304.20528902231615,275.46818519954377,1.1700000000000008,227.60167733440926,9.000000000000007,0.0411004462703667,0.13147261668583612,4.12307692307692,11.233142536733023,0.6891304347826095,0.6608068663745524
17,0.0625,1.2,1.2,5.0,10.0,0.0,11.742577368730108,0.026,-65.0,0.045961940777125586,1.5265350579349144,0.21875,307.4000000000001,0.0883,20.060780140382427,1.6826923076923077,296.1293008714405,202.16981304801013,1.2187500000000009,170.83016276381306,9.375000000000007,0.07377466768818235,0.14219313436016234,3.5826923076923096,11.742577368730108,0.753,0.6974476752307988
18,0.0625,1.2,1.2,10.0,10.0,0.0,12.346611632566571,0.052000000000000005,-65.0,0.045961940777125586,1.605059512233654,0.1875,300.6,0.0671,9.272443555280425,1.4423076923076923,287.81312245415853,132.04363418014756,1.297500000000001,115.91890484724917,9.980769230769237,0.10829505450537781,0.1359885868364152,3.1423076923076936,12.346611632566571,0.8009009009009008,0.7141672941844316
19,0.0625,1.2,1.2,50.0,10.0,0.0,13.514590385917629,0.26,-65.0,0.045961940777125586,1.7568967501692916,0.1484375,291.00000000000006,0.0378,1.7014659935155028,1.1418269230769231,273.93405300165557,56.686321782724995,1.4384375000000011,52.67414377810813,11.064903846153856,0.1564880617728119,0.09896373814919822,2.241826923076924,13.514590385917629,0.8891472868217055,0.7500063512764223
