,D,Delta,tl,K,tm,Vr,Ifull,IPSPint,Vreset,Ie_sig,Ifull_nA,Icrit_nA,fcrit,I0crit,A0crit,Icrit,level,config,freq_net,freq_unit_mean,freq_unit_std,saturation,CV,ampl_mean,qfac,v_std_mean,v_std_std,v_av_mumin,v_av_mumin_sd,gauss_mu_min_sim,gauss_mu_min_sd_sim,gauss_sig_min_sim,Iext,gauss_mu_min,gauss_mu_max,gauss_f_net,gauss_f_unit,gauss_sat,gauss_zeta,gauss_t_on,gauss_t_off,gauss_mu_reset
125,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.4985428688537882,8.0,119.71422534933086,38.923094839059914,1.1077853727338904,0.3251334143914876,0.3993461988241355,314.11185170012857,21274.209275116307,3.371083774263537,0.48049279521330635,-90.45544261411065,0.7758486467626511,-1.958110970316204,5.059680665135589,5.300307590871937,3.83494514502914,-2.246585929712883,0.9736144230791672,114.42044510967806,49.22192964112272,0.4301847418434782,0.3622273957028164,6.15906532604101,7.539696817657431,0.543429681235689
126,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.5670014426245458,8.0,112.0,46.65458951962394,1.050794696458736,0.4165588349966423,0.34664067537309073,408.3268892758806,606.9711540471054,3.423445516161951,0.5315476963288233,-100.6229050957743,0.8316800053726274,-2.7402234689057154,5.063975385028664,5.309495288504065,4.361549558650352,-3.739711053563791,1.0331626201942714,99.05581022549053,58.19395505021348,0.587486538323606,0.5086057780937379,7.539838659442894,8.895318969413315,0.44567608187066543
127,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.6354600163953035,8.0,108.09871822294,54.29578205576884,0.9952349628669077,0.5022796102335888,0.3207464564670489,491.26562472549807,28061.087283094785,3.4406079645917655,0.5599538620256397,-110.22463630407132,0.7970382155048151,-3.478818177236256,5.061310631961908,5.312729223499251,4.8881539722715655,-5.258434893470971,1.0927108173093756,90.63418923497034,66.32030804881158,0.7317360988012516,0.6431005137540367,8.496886710488683,9.833363992560102,0.360974718508124
128,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.7039185901660611,8.0,104.56871989278723,62.01568525210495,1.0475064485035424,0.5930615323175872,0.32854748392371946,578.2013035456658,4072599.721890822,3.419765677275722,0.5817450667782572,-120.1101827315428,0.9270759823062017,-4.239244825503293,5.071313537100478,5.313451362525237,5.414758385892777,-6.578872672229458,1.1522590144244795,86.6160777289385,73.18724309864706,0.8449614092164686,0.7482361566778598,9.023587130742623,10.345200685829477,0.30729760520801097
129,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.7723771639368187,8.0,100.24270708991402,70.39343164989849,1.1403010514008387,0.7022299546116424,0.3458037442632622,690.6574185023755,128687.56792711742,3.313371759078508,0.5881867978500425,-132.41218282715855,2.3146678073571816,-5.185552525166042,5.178051369796706,5.354370778521367,5.94136279951399,-7.556283922060994,1.2118072115395835,85.56632116040251,78.80932822568658,0.9210320971723294,0.8178179241497284,9.177171618666003,10.486841112701356,0.2907751143672541
130,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.8408357377075764,8.0,94.0,80.17309516433924,1.1488087193613166,0.8529052677057366,0.3079064279571788,873.1022103549644,2444.13666680277,2.918919902707804,0.5640217521659074,-152.65438263991,1.7170714152472528,-6.742644818454616,5.1320824165574805,5.291915594744943,6.467967213135203,-8.162459688776494,1.2713554086546877,86.57284913887615,83.52351957044932,0.9647772991329506,0.8562082694721981,9.051103807353506,10.350965573465723,0.30657810952173703
131,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.9092943114783341,8.0,91.0,88.85020414702286,0.6507600934995502,0.976375869747504,0.1515093073353309,1034.763457070064,3150.4997391816564,2.3526879902164426,0.5544417063628473,-165.39293320968866,2.344116165663222,-7.722533323822205,5.18031662812794,5.25775042737807,6.994571626756416,-8.460904133217896,1.3309036057697918,88.97655126724352,87.75835921715259,0.9863088416808597,0.8729545058779218,8.747251904719985,10.038916161140843,0.3445947640889321
132,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,0.9777528852490917,8.0,94.87868083683392,94.20489416111458,0.3867990158172174,0.9928984396728905,0.08322734214809728,1082.9616919927932,639602.8153359821,2.256211223793003,0.5587059134756243,-168.29119139270279,1.941834099418293,-7.945476260977137,5.149371853801407,5.226933693925919,7.521176040377629,-8.551548296297826,1.390451802884896,92.26702622459422,91.84071236269502,0.995379564300019,0.8773908367523545,8.353397553008788,9.638108053529585,0.39507223858487706
133,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,1.0462114590198492,8.0,99.0,99.06365954956644,0.2537580697054183,1.0006430257531964,0.055970193478769525,1116.0037129461873,4418.623307870075,2.2417196981988177,0.553944561641361,-169.46390308953883,0.5863340796698828,-8.035684853041449,5.045102621513068,5.1746365951126245,8.047780453998842,-8.524536953601835,1.4500000000000002,96.06144431302658,95.93177115843288,0.9986501019683699,0.8759785586729233,7.9312664000149695,9.210003796542889,0.4513498980316303
134,0.0225,1.2,1.2,10.0,10.0,0.0,8.04778045399884,0.052000000000000005,-65.0,0.02757716446627536,1.0462114590198492,0.15625,297.2000000000001,0.08610000000000001,5.379012807790446,1.2019230769230769,1.569317188529774,8.0,108.0,145.53652221561404,1.0932921710163843,1.347560390885315,0.5122315953802712,1202.4025683508773,7207.605810415745,3.364384353394255,0.5440196539406338,-199.6261926841797,1.0812357196712326,-10.35586097570613,5.083171978436249,5.313011501101754,12.071670680998263,-7.653551903408326,1.9050197495671928,127.74894918230521,127.74894907979896,0.9999999991975962,0.8401645740612961,5.376684819038969,6.627853038328649,0.9050197503695966
